資料集名稱,資料集描述,資料集代碼,資料集所屬單位,資料集類別,環境保護計畫類別,聯合國永續發展目標,主要資料欄位,資料來源,授權方式,授權說明網址,編碼格式,更新頻率,最後更新時間,聯絡人姓名,聯絡人電話,聯絡人電子郵件,標籤
教育部事業廢棄物再利用機構資料,提供教育部再利用試驗計畫、個案再利用、通案及再利用機構登記檢核資料，包括機構基本資料、再利用廢棄物種類、再利用量及有效期限。,WR_P_53,環境部資源循環署,污染防治,資源循環,,county(縣市別)、fac_no(機構管編)、fac_name(機構名稱)、fac_addr(機構地址)、audittype(再利用類別)、userclass(目的事業主管機關)、deadline_start_date(有效起始日期)、deadline_end_date(有效到期日期)、waste_no(再利用廢棄物代碼)、waste_name(再利用廢棄物名稱)、waste_source(廢棄物來源)、reu_purp_notes(再利用用途)、waste_reu_value(最大再用利量)、totalqty_unit(最大再用利量單位),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:10.000000",張先生,02-2370-5888#30521,chiuta.chang@moenv.gov.tw,廢棄物
營建署事業廢棄物再利用機構資料,提供內政部再利用試驗計畫、個案再利用、通案及再利用機構登記檢核資料，包括機構基本資料、再利用廢棄物種類、再利用量及有效期限。,WR_P_54,環境部資源循環署,污染防治,資源循環,,county(縣市別)、fac_no(機構管編)、fac_name(機構名稱)、fac_addr(機構地址)、audittype(再利用類別)、userclass(目的事業主管機關)、deadline_start_date(有效起始日期)、deadline_end_date(有效到期日期)、waste_no(再利用廢棄物代碼)、waste_name(再利用廢棄物名稱)、waste_source(廢棄物來源)、reu_purp_notes(再利用用途)、waste_reu_value(最大再用利量)、totalqty_unit(最大再用利量單位),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:11:10.000000",張先生,02-2370-5888#30521,chiuta.chang@moenv.gov.tw,廢棄物
交通事業廢棄物再利用機構資料,提供交通部再利用試驗計畫、個案再利用、通案及再利用機構登記檢核資料，包括機構基本資料、再利用廢棄物種類、再利用量及有效期限。,WR_P_55,環境部資源循環署,污染防治,資源循環,,county(縣市別)、fac_no(機構管編)、fac_name(機構名稱)、fac_addr(機構地址)、audittype(再利用類別)、userclass(目的事業主管機關)、deadline_start_date(有效起始日期)、deadline_end_date(有效到期日期)、waste_no(再利用廢棄物代碼)、waste_name(再利用廢棄物名稱)、waste_source(廢棄物來源)、reu_purp_notes(再利用用途)、waste_reu_value(最大再用利量)、totalqty_unit(最大再用利量單位),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:10.000000",張先生,02-2370-5888#30521,chiuta.chang@moenv.gov.tw,廢棄物
醫療事業廢棄物再利用機構資料,提供衛服部再利用試驗計畫、個案再利用、通案及再利用機構登記檢核資料，包括機構基本資料、再利用廢棄物種類、再利用量及有效期限。,WR_P_52,環境部資源循環署,污染防治,資源循環,,county(縣市別)、fac_no(機構管編)、fac_name(機構名稱)、fac_addr(機構地址)、audittype(再利用類別)、userclass(目的事業主管機關)、deadline_start_date(有效起始日期)、deadline_end_date(有效到期日期)、waste_no(再利用廢棄物代碼)、waste_name(再利用廢棄物名稱)、waste_source(廢棄物來源)、reu_purp_notes(再利用用途)、waste_reu_value(最大再用利量)、totalqty_unit(最大再用利量單位),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:09.000000",張先生,02-2370-5888#30521,chiuta.chang@moenv.gov.tw,廢棄物
經濟部事業廢棄物再利用機構資料,提供經濟部再利用試驗計畫、個案再利用、通案及再利用機構登記檢核資料，包括機構基本資料、再利用廢棄物種類、再利用量及有效期限。,WR_P_51,環境部資源循環署,污染防治,資源循環,,county(縣市別)、fac_no(機構管編)、fac_name(機構名稱)、fac_addr(機構地址)、audittype(再利用類別)、userclass(目的事業主管機關)、deadline_start_date(有效起始日期)、deadline_end_date(有效到期日期)、waste_no(再利用廢棄物代碼)、waste_name(再利用廢棄物名稱)、waste_source(廢棄物來源)、reu_purp_notes(再利用用途)、waste_reu_value(最大再用利量)、totalqty_unit(最大再用利量單位),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:09.000000",張先生,02-2370-5888#30521,chiuta.chang@moenv.gov.tw,廢棄物
公告應回收項目之責任業者申報營業量或進口量年總量資料,公告應回收項目之責任業者申報營業量或進口量歷年統計數據(年度、公告項目、總量),WR_P_49,環境部資源循環署,其他,"環境資源調查與監測,資源循環",負責任的消費與生產,year(年度)、item(公告項目)、count(總量),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:08.000000",沈小姐,(02)2370-5888#30214,meishen@moenv.gov.tw,責任業者
乾電池汞、鎘含量確認文件資料,提供環保機關已核發之乾電池汞、鎘含量確認文件資料(電池資料、有效期限、汞鎘含量、電池外觀照片)，以供查詢電池是否已合法申請確認文件。,WR_P_50,環境部資源循環署,其他,化學物質管理,"永續城市與社區,負責任的消費與生產",City(核發縣市)、CompanyName(申請業者名稱)、CnfDctNumber(確認文件字號)、status(確認文件狀態)、ValidDate(有效期限（年月日）)、BatteryCN(電池中文名稱)、BatteryEN(電池英文名稱)、BatteryForm(電池型式)、BatteryShape(電池形狀)、BatterySize(電池尺寸)、BatteryType(電池型號)、BatteryHg(電池含汞量)、BatteryCd(電池含鎘量)、Manufacture(電池製造國)、Photo1_url(電池外觀照片1)、Photo2_url(電池外觀照片2)、Photo3_url(電池外觀照片3)、Photo4_url(電池外觀照片4),生活廢棄物物質管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:08.000000",蕭小姐,(02)2370-5888#30224,yuchhsiao@moenv.gov.tw,乾電池
公告應回收項目之責任業者列管資料,公告應回收項目之責任業者列管業者(年度、業者名稱、登記項目),WR_P_48,環境部資源循環署,其他,"環境資源調查與監測,資源循環",負責任的消費與生產,year(年度)、com_name(業者名稱)、item(登記項目),應回收廢棄物營業量申報系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:08.000000",沈小姐,(02)2370-5888#30214,meishen@moenv.gov.tw,責任業者
公告應回收項目之責任業者列管家數統計,提供公告應回收項目之責任業者列管家數(公告項目、列管家數)資料。,WR_P_46,環境部資源循環署,其他,"環境資源調查與監測,資源循環",負責任的消費與生產,year(年度)、item(公告項目)、count(列管家數),資源回收管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:07.000000",沈小姐,(02)2370-5888#30214,meishen@moenv.gov.tw,責任業者
全國各縣市之責任業者列管家數統計,各縣市之責任業者列管家數(縣市別、列管家數),WR_P_47,環境部資源循環署,其他,"環境資源調查與監測,資源循環",負責任的消費與生產,county_code(縣市別代碼)、count(列管家數),資源回收管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:07.000000",沈小姐,(02)2370-5888#30214,meishen@moenv.gov.tw,責任業者
公民營廢棄物甲級處理機構許可資料,提供各項甲級處理機構許可資料，包括機構基本資料、每月許可處理量、廢棄物種類及處理方法。,WR_P_38,環境部資源循環署,其他,環境科技,,Tre_No(管制編號)、Tre_Name(機構名稱)、Tre_Grade(級別)、GrantDeadline_date(有效期限)、GrantTotalQty_value(核發總量)、GrantNo(許可證字號)、waste_no(廢棄物代碼)、Waste_name(廢棄物名稱)、TreMethodName(處理方式),清除處理機構服務管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:11:06.000000",羅先生,(02)2370-5888#30533,chchlo@moenv.gov.tw,"廢棄物,甲級處理,處理機構"
公民營廢棄物乙級處理機構許可資料,提供各項乙級處理機構許可資料，包括機構基本資料、每月許可處理量、廢棄物種類及處理方法。,WR_P_39,環境部資源循環署,其他,環境科技,,Tre_No(管制編號)、Tre_Name(機構名稱)、Tre_Grade(級別)、GrantDeadline_date(有效期限)、GrantTotalQty_value(核發總量)、GrantNo(許可證字號)、waste_no(廢棄物代碼)、Waste_name(廢棄物名稱)、TreMethodName(處理方式),清除處理機構服務管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:11:06.000000",羅先生,(02)2370-5888#30533,chchlo@moenv.gov.tw,"廢棄物,乙級處理,處理機構"
公民營廢棄物乙級清除機構許可資料,提供各項乙級清除機構許可資料，包括機構基本資料、每月許可清運量、廢棄物種類。,WR_P_36,環境部資源循環署,其他,環境科技,,Cle_No(管制編號)、Cle_Name(機構名稱)、Cle_Grade(級別)、GrantDeadline_date(有效期限)、GrantTotalQty_value(核發總量)、GrantNo(許可證字號)、waste_no(廢棄物代碼)、Waste_name(廢棄物名稱),清除處理機構服務管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:11:05.000000",羅先生,(02)2370-5888#30533,chchlo@moenv.gov.tw,"廢棄物,乙級清除,清除機構"
公民營廢棄物丙級清除機構許可資料,提供各項丙級清除機構許可資料，包括機構基本資料、每月許可清運量、廢棄物種類。,WR_P_37,環境部資源循環署,其他,環境科技,,Cle_No(管制編號)、Cle_Name(機構名稱)、Cle_Grade(級別)、GrantDeadline_date(有效期限)、GrantTotalQty_value(核發總量)、GrantNo(許可證字號)、waste_no(廢棄物代碼)、Waste_name(廢棄物名稱),清除處理機構服務管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:11:05.000000",羅先生,(02)2370-5888#30533,chchlo@moenv.gov.tw,"廢棄物,丙級清除,清除機構"
廚餘堆肥製作DIY,提供利用廚餘桶製作堆肥方法及液肥應用；並說明回收廢油轉製肥皂方法及綠色餐飲介紹。part1(小型廚餘桶製作堆肥)、part2(堆肥使用注意事項)、part3(液肥再應用)。,WR_P_34,環境部環境管理署,其他,資源循環,"可負擔的潔淨能源,永續城市與社區,負責任的消費與生產",filename(標題)、url(路徑)、description(說明),環境部環境管理署全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:11:04.000000",張先生,(04)2252-1718#53202,yuchen.chang@moenv.gov.tw,"廚餘,堆肥"
公民營廢棄物甲級清除機構許可資料,提供各項甲級清除機構許可資料，包括機構基本資料、每月許可清運量、廢棄物種類。,WR_P_35,環境部資源循環署,其他,環境科技,,Cle_No(管制編號)、Cle_Name(機構名稱)、Cle_Grade(級別)、GrantDeadline_date(有效期限)、GrantTotalQty_value(核發總量)、GrantNo(許可證字號)、waste_no(廢棄物代碼)、Waste_name(廢棄物名稱),清除處理機構服務管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:11:04.000000",羅先生,(02)2370-5888#30533,chchlo@moenv.gov.tw,"廢棄物,甲級清除,清除機構"
廢家具修繕DIY,"介紹一般廢家具損害，如何自己修繕的方法步驟,及所需工具材料。",WR_P_33,環境部環境管理署,其他,資源循環,"可負擔的潔淨能源,永續城市與社區,負責任的消費與生產",Question(題目)、Answer(回答)、url(網址),環境部環境管理署全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:11:04.000000",林小姐,(04)2252-1718#53204,liping.lin@moenv.gov.tw,"家具,修繕"
資源回收電子報,提供資源回收電子報,WR_P_31,環境部資源循環署,其他,"環境資源調查與監測,資源循環",優質教育,Year(年份)、Issue_No(期數)、Title(標題)、Summary(概述),環境部資源循環署全球資訊網,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,不定期,"2026-04-12 08:11:03.000000",廖小姐,(02)2370-5888#30218,ptliao@moenv.gov.tw,資源回收
應設置資源回收設施之電子電器販賣業者資料,應設置資源回收設施之電子電器販賣業者資料(業者名稱、地址、電話),WR_P_32,環境部資源循環署,其他,"環境資源調查與監測,資源循環",負責任的消費與生產,Company_Name(公司名稱)、ban(統一編號)、Tel(電話)、Sign_Address(公司登記地址)、Business_Address(營業地址),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:03.000000",劉小姐,(02)2370-5888#30212,yenyu.liu@moenv.gov.tw,"資源回收設施,電子電器"
通過逐車審驗運送車輛,提供使用者查詢已通過毒性化學物質運送車輛即時監控系統逐車審驗之運送車輛，資料內容包含：運送業者管編(統編)、運送業者名稱、運送業者電話、車號、正式核可日,WR_P_29,環境部化學物質管理署,其他,"環境科技,化學物質管理","良好健康和福祉,永續城市與社區",FacNo(運送業者管編（統編）)、FacName(運送業者名稱)、FacTel(運送業者電話)、PlateNo(車號)、PermitDate(正式核可日)、VehicleModel(車種)、VehicleStyle(車身樣式)、VehicleWeight(車輛載重量（噸）)、WeightTotal(總連結重量（噸）),毒性化學物質運送車輛即時追蹤系統專區,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:11:02.000000",張小姐,(02)2325-7399#55219,yachchang@moenv.gov.tw,"毒性及關注化學物質,運送"
事業廢棄物輸出/輸入申報量統計,依事業廢棄物之輸出/輸入者，列管事業申報國內運送聯單之廢棄物資料統計。,WR_P_28,環境部資源循環署,其他,其他,負責任的消費與生產,DLIST_TYPE(申報流向)、EMI_TYPE(廢棄物性質)、EMI_YEAR(申報年度)、EMI_MONTH(申報月份)、EMI_NAME(廢棄物項目)、EMI_CUNTRY(接受國/輸出國)、EMI_VALUE(申報量)、EMI_UNITS(申報量度量單位)、EMI_SCALAR(申報量小數點展示位數),事業廢棄物申報及管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:11:02.000000",吳小姐,(02)2311-7722#2661,meichiu.wu@moenv.gov.tw,輸出入
各公告類別事業廢棄物委託或共同處理申報量統計,以產源之網路申報公告之列管類別作為統計主軸，統計事業廢棄物委託或共同處理之申報量。,WR_P_26,環境部資源循環署,其他,資源循環,負責任的消費與生產,EMI_YEAR(申報年度)、EMI_MONTH(申報月份)、PRON_CLASS(網路申報公告類別)、EMI_VALUE(申報量)、EMI_UNITS(申報量度量單位)、EMI_SCALAR(申報量小數點展示位數),事業廢棄物申報及管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:11:01.000000",吳小姐,(02)2311-7722#2661,meichiu.wu@moenv.gov.tw,各公告類別事業廢棄物流向
公共下水道污水處理廠事業廢棄物再利用機構資料,提供科技部再利用試驗計畫、個案再利用、通案及再利用機構登記檢核資料，包括機構基本資料、再利用廢棄物種類、再利用量及有效期限。,WR_P_253,環境部資源循環署,其他,資源循環,負責任的消費與生產,county(縣市別)、fac_no(機構管編)、fac_name(機構名稱)、fac_addr(機構地址)、audittype(再利用類別)、userclass(目的事業主管機關)、deadline_start_date(有效起始日期)、deadline_end_date(有效到期日期)、waste_no(再利用廢棄物代碼)、waste_name(再利用廢棄物名稱)、waste_source(廢棄物來源)、reu_purp_notes(再利用用途)、waste_reu_value(最大再用利量)、totalqty_unit(最大再用利量單位),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:11:00.000000",張先生,02-2370-5888#30521,chiuta.chang@moenv.gov.tw,廢棄物
全國不用品實體站點資料,全國不用品實體站點(地址、電話、服務類別、物品類別),WR_P_250,環境部資源循環署,其他,資源循環,,no(序號)、county_code(縣市代碼)、site_name(站點名稱)、tel(電話)、postal_code(郵遞區號)、address(地址)、service_type(服務類別)、item(物品類別),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:59.000000",廖小姐,(02)2370-5888#30218,ptliao@moenv.gov.tw,"回收,買賣,維修,捐送"
各公告類別事業廢棄物自行處理申報量統計,提供以產源之網路申報公告之列管類別作為統計，自行處理之量,WR_P_25,環境部資源循環署,其他,資源循環,負責任的消費與生產,EMI_YEAR(申報年度)、EMI_MONTH(申報月份)、PRON_CLASS(網路申報公告類別)、EMI_VALUE(申報量)、EMI_UNITS(申報量度量單位)、EMI_SCALAR(申報量小數點展示位數),事業廢棄物申報及管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:10:59.000000",吳小姐,(02)2311-7722#2661,meichiu.wu@moenv.gov.tw,各公告類別事業廢棄物
共通性事業廢棄物再利用機構資料,提供共通性再利用登記檢核資料,WR_P_243,環境部資源循環署,污染防治,資源循環,負責任的消費與生產,county(縣市別)、fac_no(機構管編)、fac_name(機構名稱)、fac_addr(機構地址)、audittype(再利用類別)、userclass(目的事業主管機關)、deadline_start_date(有效起始日期)、deadline_end_date(有效到期日期)、waste_no(再利用廢棄物代碼)、waste_name(再利用廢棄物名稱)、waste_source(廢棄物來源)、reu_purp_notes(再利用用途)、waste_reu_value(最大再用利量)、totalqty_unit(最大再用利量單位),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:58.000000",張先生,02-2370-5888#30521,chiuta.chang@moenv.gov.tw,"資料集已下架,請刪除本資料集"
列管廢棄物棄置場址,環境部針對國內列管廢棄物棄置場址狀況進行相關統籌調查及資訊掌握，本資料彙整列管廢棄物棄置場址座標、廢棄物種類、現場狀況等項目進行資料公開。資料字典：CSID(案件編號)、City(縣市)、Dist(行政區)、Address(地址)、Cadastre(地號)、Site(場址名稱)、Lon(經度)、Lat(緯度)、WasteKind(廢棄物種類)、LDate(最後更新日)、CleanDESC(現場狀態)、SwIsC(土水列管)。,WR_P_244,環境部環境管理署,其他,資源循環,"良好健康和福祉,保育海洋生態,保育陸域生態",filename(標題)、url(路徑)、description(說明),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:10:58.000000",李先生,04)22521718#51211,yusyuan.li@moenv.gov.tw,"廢棄物棄置案件管理,廢棄物清理作業程序,非法棄置,棄置廢棄物"
應回收廢棄物(農藥廢容器)回收量資料,提供公告應回收廢棄物(農藥廢容器)歷年回收量資料。,WR_P_232,環境部資源循環署,其他,"環境資源調查與監測,資源循環",負責任的消費與生產,Year(年分)、Item(回收項目)、Amount(回收量),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:57.000000",廖小姐,(02)2370-5888#30218,ptliao@moenv.gov.tw,"廢農藥容器,回收量"
各公告類別事業廢棄物再利用申報量統計,以產源之網路申報公告之列管類別作為統計主軸，統計事業廢棄物進行再利用之申報量。,WR_P_24,環境部資源循環署,其他,資源循環,負責任的消費與生產,EMI_YEAR(申報年度)、EMI_MONTH(申報月份)、PRON_CLASS(網路申報公告類別)、EMI_VALUE(申報量)、EMI_UNITS(申報量度量單位)、EMI_SCALAR(申報量小數點展示位數),事業廢棄物申報及管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:10:57.000000",吳小姐,(02)2311-7722#2661,meichiu.wu@moenv.gov.tw,各公告類別事業廢棄物再利用
事業廢棄物境外輸出申報量統計,以產源之所在地作為統計主軸，統計事業廢棄物境外輸出之申報量。,WR_P_23,環境部資源循環署,其他,其他,負責任的消費與生產,EMI_YEAR(申報年度)、EMI_MONTH(申報月份)、AREA_NAME(縣市別)、EMI_VALUE(申報量)、EMI_UNITS(申報量度量單位)、EMI_SCALAR(申報量小數點展示位數),事業廢棄物申報及管理資訊系統,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1月,"2026-04-12 08:10:56.000000",吳小姐,(02)2311-7722#2661,meichiu.wu@moenv.gov.tw,境外輸出申報量
應回收廢棄物(廢照明光源類)回收量資料,提供公告應回收廢棄物(廢照明光源類)歷年回收量資料。,WR_P_226,環境部資源循環署,其他,"環境資源調查與監測,資源循環",負責任的消費與生產,Year(年分)、Item(回收項目)、Amount(回收量),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:56.000000",廖小姐,(02)2370-5888#30218,ptliao@moenv.gov.tw,"廢照明光源類,回收量"
應回收廢棄物(廢乾電池類)回收量資料,提供公告應回收廢棄物(廢乾電池類)歷年回收量資料。,WR_P_227,環境部資源循環署,其他,"環境資源調查與監測,資源循環",負責任的消費與生產,Year(年分)、Item(回收項目)、Amount(回收量),,依政府資料開放平臺使用規範,https://data.gov.tw/license,UTF-8,1年,"2026-04-12 08:10:56.000000",廖小姐,(02)2370-5888#30218,ptliao@moenv.gov.tw,"廢乾電池類,回收量"
